Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'1301,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins",730296.0,768746.0,800814.0,676846.0,557181.0,646656.0,683055.0,696529.0,716878.0,834189.0,924288.0
'1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",6650733.0,11394751.0,7823571.0,7322349.0,5730738.0,5705819.0,6124407.0,6960123.0,6850800.0,6656416.0,7764500.0
'1401,"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ...",187291.0,148564.0,174000.0,159972.0,179672.0,167860.0,169141.0,157383.0,161540.0,173008.0,210157.0
'1404,"Vegetable products, n.e.s.",781783.0,676268.0,679378.0,764591.0,804731.0,786657.0,801269.0,878294.0,921285.0,1094103.0,1200637.0
'1501,"Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excluding lard stearin ...",938828.0,706183.0,631285.0,544008.0,441412.0,471700.0,593356.0,617418.0,659806.0,782014.0,1211234.0
'1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",2046508.0,1764360.0,1536181.0,1436375.0,1076078.0,1236693.0,1366879.0,1301543.0,1281425.0,1494342.0,2287513.0
'1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excluding emulsified, mixed or ...",141800.0,85179.0,80743.0,88417.0,51579.0,50005.0,69140.0,57270.0,52959.0,60858.0,82314.0
'1504,"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excluding ...",1683575.0,1989373.0,1895664.0,1965507.0,1789767.0,1770570.0,1760133.0,2015027.0,2024451.0,2249088.0,2401843.0
'1505,"Wool grease and fatty substances derived therefrom, incl. lanolin",234449.0,296539.0,306066.0,264281.0,232701.0,188822.0,204228.0,212289.0,189308.0,182163.0,243353.0
'1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",283835.0,343736.0,471195.0,405139.0,275765.0,288548.0,341427.0,264473.0,366418.0,548692.0,614432.0
'1507,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)",12664009.0,11676114.0,10487379.0,9080449.0,9279319.0,9250273.0,9086090.0,8450520.0,8333186.0,9767825.0,17042311.0
'1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",321312.0,435116.0,347147.0,324374.0,348409.0,655694.0,381432.0,329497.0,396623.0,686332.0,989408.0
'1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,5722439.0,5602230.0,6733530.0,7077854.0,7347029.0,7388648.0,8234033.0,8415017.0,7049566.0,7614593.0,8629173.0
'1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",339305.0,379474.0,428269.0,414050.0,435961.0,437010.0,549070.0,644043.0,368932.0,336778.0,465249.0
'1511,"Palm oil and its fractions, whether or not refined (excluding chemically modified)",40852233.0,38488214.0,33563011.0,34708846.0,29346602.0,27963198.0,33622426.0,30450724.0,27862580.0,32638846.0,49502546.0
