Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, ...",276,86,2,0,0,1,2,2,2,5,2,5
'1904,"""Prepared foods obtained by the swelling or roasting of cereals or cereal products, e.g. corn ...",101521,107007,141088,172783,144623,165324,158560,160250,177648,195494,174317,223418
'1905,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",621535,739220,879795,940747,915033,886759,941935,1002490,1079946,1091251,1189948,1398952
'2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ...",184064,201296,235069,241598,215648,228329,232560,235967,240582,293828,323959,356231
'2002,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid",124551,142545,230968,271005,184401,192739,181626,192745,200334,206434,253698,521660
'2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",499,442,455,388,382,285,418,331,552,481,531,865
'2004,"Vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen (excluding ...",12731,11078,15361,13446,9026,29877,46881,40152,52749,40998,46919,132822
'2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen ...",196432,189824,198801,209600,196973,186504,182179,204758,222960,248039,266124,298621
'2006,"""Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar """"drained, ...",1866,1589,1474,1150,1384,1810,2171,1680,2128,1586,1838,1874
'2007,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, ...",217911,236647,245732,330692,391702,280923,257431,227045,220730,272170,300360,279391
'2008,"Fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing ...",695113,724320,735422,882370,1001265,745028,760953,725780,834388,907728,1028128,933109
'2009,"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, ...",220353,214392,226417,230920,186285,183075,215877,279382,313891,393289,474491,555041
'2101,"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of ...",8740,21973,30952,31671,23128,18605,22557,23754,34421,43866,54173,64783
'2102,"Yeasts, active or inactive; other dead single-cell micro-organisms, prepared baking powders ...",179986,195714,217469,219821,201566,202391,208917,211595,193997,202075,216902,243906
